UserID,SessionTime,ProductID,Category,NotificationType,NotificationTime,Response,UserType,DeviceType,OS,DiscountOffered,UrgencyWordUsed,EmojiUsed,DayOfWeek,HourOfDay,IsWeekend,TimeDelayMin,NotificationTextLength
6734,2024-02-21 15:53:00,221,Books,Discount,2024-02-21 14:42:00,Yes,Loyal,Desktop,iOS,0,,False,Wednesday,14,False,71,57
7396,2024-01-02 21:29:00,847,Food,Reminder,2024-01-02 20:32:00,Yes,Returning,Desktop,iOS,0,Hurry,True,Tuesday,20,False,57,127
4556,2024-02-24 22:06:00,918,Clothing,Reminder,2024-02-24 19:56:00,Yes,Loyal,Tablet,iOS,10,Hurry,True,Saturday,19,True,130,149
1775,2024-03-24 17:50:00,134,Food,Urgent,2024-03-24 14:59:00,Yes,Loyal,Tablet,iOS,10,,False,Sunday,14,True,171,63
8629,2024-02-03 09:48:00,826,Electronics,Reminder,2024-02-03 09:35:00,No,Loyal,Mobile,iOS,20,,False,Saturday,9,True,13,143
9006,2024-02-10 15:48:00,620,Food,Urgent,2024-02-10 14:44:00,Yes,New,Desktop,Android,30,Exclusive,True,Saturday,14,True,64,142
4099,2024-01-05 10:18:00,234,Food,Urgent,2024-01-05 09:38:00,Yes,New,Desktop,Android,20,Limited Time,True,Friday,9,False,40,123
9110,2024-03-26 03:40:00,561,Books,Reminder,2024-03-26 02:00:00,No,New,Tablet,Android,0,Exclusive,True,Tuesday,2,False,100,109
1863,2024-02-11 13:52:00,842,Food,Urgent,2024-02-11 12:50:00,Yes,Returning,Mobile,Android,20,Exclusive,True,Sunday,12,True,62,48
4157,2024-02-05 13:41:00,895,Grocery,New Arrival,2024-02-05 12:31:00,No,Returning,Tablet,iOS,30,,False,Monday,12,False,70,49
6592,2024-03-02 12:28:00,330,Food,Reminder,2024-03-02 10:57:00,Yes,Returning,Mobile,Android,10,Hurry,False,Saturday,10,True,91,81
1663,2024-02-06 03:41:00,926,Food,Urgent,2024-02-06 00:50:00,Yes,Loyal,Tablet,Android,20,Limited Time,True,Tuesday,0,False,171,132
5737,2024-02-25 18:50:00,319,Clothing,Urgent,2024-02-25 16:58:00,No,New,Tablet,Android,20,,False,Sunday,16,True,112,87
9958,2024-02-24 12:57:00,393,Clothing,Urgent,2024-02-24 10:55:00,No,Returning,Desktop,iOS,30,Limited Time,False,Saturday,10,True,122,89
7546,2024-03-20 05:02:00,445,Books,Discount,2024-03-20 02:19:00,Yes,Returning,Mobile,Android,10,Exclusive,False,Wednesday,2,False,163,123
